video,offset,abs_offset,num_segs,conf,mu,sigma,mu_var,sigma_var,abs_mu
391,-418.0,418.0,32.0,7076.834001109899,-358.5305225384408,731.4735715607685,0.03863601691486556,0.025757345428300854,358.5305225384408
114,-393.0,393.0,32.0,8436.88670014733,-360.1968651511807,636.8418166978042,0.03722341430439285,0.024815610397867924,360.1968651511807
141,-382.0,382.0,32.0,3319.6709622323656,-276.47791084279646,729.707834803863,0.08256309158370234,0.05504206026903719,276.47791084279646
685,-356.0,356.0,32.0,15591.763457486537,-318.47882356251955,710.2765280229585,0.018059565407849455,0.012039710654529346,318.47882356251955
1201,-346.0,346.0,32.0,1347.586930984395,-150.93361656097352,798.9594760917672,0.18575839631736607,0.12383893679013934,150.93361656097352
924,-341.0,341.0,32.0,10204.935892035843,-295.4923446984435,703.1772052690884,0.02787115271809036,0.018580768677374737,295.4923446984435
28,-337.0,337.0,32.0,7673.868068978014,-288.60758997645286,642.4749573992641,0.04056574562224365,0.027043831160040957,288.60758997645286
179,-336.0,336.0,32.0,5537.112276495345,-257.92316442084973,689.0902474301075,0.05241680703044174,0.034944538695442465,257.92316442084973
1156,-327.0,327.0,32.0,25143.398618087675,-305.6920843475006,675.8274013508982,0.011769830778787812,0.007846553799602836,305.6920843475006
777,-325.0,325.0,32.0,707808.180707476,-332.6712420217489,589.4357675262517,0.0004793778156213057,0.0003195852300000095,332.6712420217489
507,-321.0,321.0,32.0,7535.329748157216,-261.93484074153724,649.858241459905,0.04084219765432054,0.02722813213009897,261.93484074153724
1083,-320.0,320.0,32.0,3692.788527983421,-238.15128869927554,708.6770261534126,0.0764235493183378,0.0509490344428999,238.15128869927554
444,-312.0,312.0,32.0,206627.09156711845,-321.8103840607132,649.6500557165699,0.00148992103933851,0.0009932806872976006,321.8103840607132
1137,-310.0,310.0,32.0,3213.305791222205,-220.2032192105979,711.5566278803547,0.08747188198829911,0.058314589824196246,220.2032192105979
133,-308.0,308.0,32.0,7254.803181023898,-253.93856988570082,701.0740572940463,0.03932244052467378,0.02621496085146233,253.93856988570082
346,-307.0,307.0,32.0,101023.77449675677,-288.4934766387705,660.5777115214664,0.002996970642609354,0.0019979804630081764,288.4934766387705
1200,-306.0,306.0,32.0,9185.21979589538,-277.91499691113717,614.2187809733136,0.035450090710057,0.023633394003769848,277.91499691113717
872,-304.0,304.0,32.0,34995.96938914404,-281.57092115032555,646.2253560377901,0.008843577237563193,0.005895718290245506,281.57092115032555
245,-302.0,302.0,32.0,39129.776976765796,-275.4722601397537,674.2403856554234,0.007580674700165773,0.005053783279494466,275.4722601397537
2,-302.0,302.0,32.0,3742.253452539064,-200.00567907273805,726.2493159850843,0.07358868826070016,0.04905912586363864,200.00567907273805
